curve,delay_std_init,mean,std,sem,n_seeds
axonal learned,3,83.52784602784602,0.2088050578866786,0.12055365637902929,3
axonal learned,8,83.07739557739558,0.8129640334189917,0.4693650035359388,3
axonal learned,13,82.9494266994267,0.4720369321621043,0.27253064985123604,3
axonal learned,18,82.65253890253891,0.5477307166009552,0.3162324766729881,3
axonal learned,23,82.22256347256346,0.32317146023064636,0.18658312955856812,3
axonal fixed,3,82.30958230958231,0.04343407746846673,0.02507667631842233,3
axonal fixed,8,82.73443898443898,0.30334832903417563,0.1751382394261045,3
axonal fixed,13,82.61670761670761,0.3089116762820313,0.17835023945724932,3
axonal fixed,18,81.57760032760034,0.151155027234163,0.08726939566300922,3
axonal fixed,23,81.40868140868142,0.2425879527246673,0.14005821980774688,3
synaptic learned,3,84.43898443898443,0.21909228664038302,0.12649299066919578,3
synaptic learned,8,84.16257166257166,0.3036073428815884,0.1752877811406321,3
synaptic learned,13,83.53808353808353,0.5009062171468072,0.2891983393084663,3
synaptic learned,18,82.9494266994267,0.360427246975508,0.20809276806458527,3
synaptic learned,23,82.62694512694513,0.16122047244086513,0.09308068316261213,3
synaptic fixed,3,82.12530712530713,0.5106968411644913,0.2948509587206106,3
synaptic fixed,8,82.88800163800164,0.22087888012276208,0.12752448089717977,3
synaptic fixed,13,82.36588861588861,0.4082828952213229,0.23572223946155055,3
synaptic fixed,18,81.84889434889435,0.23822842502498554,0.13754124531679598,3
synaptic fixed,23,81.37285012285012,0.436687116323528,0.25212142416103034,3
common,3,79.4021294021294,0.4162904506827882,0.2403454037627784,3
common,8,80.11875511875512,1.040480628631871,0.6007217710272018,3
common,13,79.81162981162981,2.7254763441657404,1.5735545009740475,3
common,18,77.97399672399672,3.6859586578757018,2.128089223346368,3
common,23,77.6566339066339,4.924279670760426,2.843034193478534,3
