model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
ax_learned,axonal,learned,0.0,0,83.9066339066339,0.28051664395219084,0.1352779699059633,7.0164475440979,5.462467193603516,25.0
ax_learned,axonal,learned,0.0,1,83.23095823095824,0.3044778661829443,0.14707570866896555,7.565789699554443,6.05258846282959,30.0
ax_learned,axonal,learned,0.0,2,83.33845208845209,0.2913369724483006,0.1410613117309717,7.1414475440979,5.965613842010498,30.0
ax_learned,axonal,learned,0.1,0,84.21375921375922,0.2550088634444103,0.12334778303137192,7.101973533630371,5.548185348510742,25.0
ax_learned,axonal,learned,0.1,1,83.98341523341523,0.26711096021447583,0.1299335750249716,7.7664475440979,5.823166847229004,28.0
ax_learned,axonal,learned,0.1,2,83.30773955773955,0.2605894214527027,0.12657327204942703,7.25,5.80295991897583,31.0
ax_learned,axonal,learned,0.2,0,84.64373464373465,0.23764726338554465,0.11546215730217788,7.213815689086914,5.547374248504639,29.0
ax_learned,axonal,learned,0.2,1,84.0909090909091,0.24428708538083538,0.11925907146472198,7.700657844543457,5.953150272369385,29.0
ax_learned,axonal,learned,0.2,2,83.35380835380835,0.233835243268837,0.11418433229510601,7.101973533630371,5.615368366241455,30.0
ax_learned,axonal,learned,0.3,0,84.50552825552826,0.21847695440468878,0.10659085328762348,7.049342155456543,5.706718921661377,28.0
ax_learned,axonal,learned,0.3,1,84.0909090909091,0.22504101882422195,0.11040563594836456,7.786184310913086,5.93470573425293,30.0
ax_learned,axonal,learned,0.3,2,83.29238329238329,0.21755649346079034,0.10664754561506785,7.029605388641357,5.732161521911621,34.0
ax_learned,axonal,learned,0.5,0,84.16769041769042,0.19508543522215396,0.09586668558991872,6.996710300445557,5.493116855621338,24.0
ax_learned,axonal,learned,0.5,1,83.72235872235872,0.2005944570280508,0.09888893709732936,7.861842155456543,5.9083452224731445,27.0
ax_learned,axonal,learned,0.5,2,83.75307125307125,0.1950218442874693,0.09620527521922038,7.1052632331848145,5.874406814575195,31.0
ax_learned,axonal,learned,1.0,0,84.53624078624078,0.15474474367833743,0.07688955217599869,7.1677632331848145,5.432735919952393,26.0
