model,std,mean,sd,n,sem
ax_learned,3,83.52784602784602,0.25573292376732837,3,0.14764747237771708
ax_learned,8,83.07739557739558,0.9956735305557336,3,0.5748523808913379
ax_learned,13,82.9494266994267,0.5781248117729625,3,0.33378051570232165
ax_learned,18,82.6525389025389,0.6708303860606593,3,0.3873041039727022
ax_learned,23,82.22256347256346,0.3958025884976147,3,0.22851673101504852
ax_fixed,3,82.30958230958231,0.0531956636231296,3,0.030712530712534658
ax_fixed,8,82.734438984439,0.3715243102298095,3,0.21449966052167055
ax_fixed,13,82.61670761670761,0.37833799123939665,3,0.21843354108672794
ax_fixed,18,81.57760032760034,0.1851263443900969,3,0.10688274476771381
ax_fixed,23,81.4086814086814,0.2971083509609224,3,0.17153558640577438
syn_learned,3,84.43898443898443,0.2683321544242597,3,0.15492164158907856
syn_learned,8,84.16257166257166,0.3718415361110531,3,0.21468281096960046
syn_learned,13,83.53808353808354,0.6134823204987089,3,0.35419418288300586
syn_learned,18,82.9494266994267,0.44143142224304727,3,0.2548605504607827
syn_learned,23,82.62694512694513,0.1974539467852806,3,0.11400008932903581
syn_fixed,3,82.12530712530713,0.6254733370521011,3,0.3611171995179641
syn_fixed,8,82.88800163800164,0.2705202756290726,3,0.15618495395569684
syn_fixed,13,82.36588861588861,0.5000423819992216,3,0.28869960385347226
syn_fixed,18,81.84889434889435,0.2917690417690467,3,0.1684529348065583
syn_fixed,23,81.37285012285012,0.5348303061200232,3,0.3087844212091654
