model,std,mean,sd,n,sem
ax_learned,3,3.8542909622192383,0.12141516874803812,3,0.07009908036038365
ax_learned,8,5.727837244669597,0.23875271105819001,3,0.13784394199919894
ax_learned,13,8.232869148254395,0.536983514587148,3,0.31002757669728126
ax_learned,18,11.02303155263265,0.6122053342713797,3,0.3534569145409059
ax_learned,23,14.106013615926107,1.0946375230074565,3,0.6319892685734202
ax_fixed,3,1.8460461695988972,0.11380200318566806,3,0.06570361717356411
ax_fixed,8,4.791127999623616,0.32805121303199775,3,0.18940045615200718
ax_fixed,13,7.7891513506571455,0.5168108422938004,3,0.2983808789184429
ax_fixed,18,10.805461565653482,0.7332771626790803,3,0.42335776726337204
ax_fixed,23,13.799802780151367,0.9600304477160859,3,0.5542738374191192
syn_learned,3,3.3397852579752603,0.040912217887112044,3,0.023620680010268763
syn_learned,8,5.670527617136638,0.028759919440549477,3,0.016604547230873193
syn_learned,13,8.426454226175943,0.02236807184602451,3,0.012914212301555142
syn_learned,18,11.293274879455566,0.030867673978817824,3,0.01782145988092808
syn_learned,23,14.23361333211263,0.031116962258709614,3,0.01796538653642942
syn_fixed,3,1.8462779919306438,0.006243413516873892,3,0.00360463647462929
syn_fixed,8,4.834488073984782,0.015447675234758628,3,0.00891871945514181
syn_fixed,13,7.840948422749837,0.025653304056936277,3,0.014810942002875478
syn_fixed,18,10.851298967997232,0.035459512255526605,3,0.02047255894606112
syn_fixed,23,13.861358642578125,0.047061917817968445,3,0.027171210920784127
