family,condition,cfg_type,cfg_value,seed,delay_mean,delay_std,delay_max,test_acc
axonal,learned,wd,0.0,0,7.1447367668151855,5.459670066833496,25.0,83.72235872235872
axonal,learned,wd,0.0,1,7.496710300445557,6.129629611968994,28.0,83.70700245700246
axonal,learned,wd,0.0,2,7.549342155456543,6.263212203979492,33.0,82.90847665847666
axonal,learned,wd,0.001,0,6.5789475440979,5.361321449279785,26.0,84.19840294840294
axonal,learned,wd,0.001,1,7.1677632331848145,5.707925319671631,27.0,83.07739557739558
axonal,learned,wd,0.001,2,6.8190789222717285,5.578108310699463,29.0,83.00061425061425
axonal,learned,wd,0.003,0,5.976973533630371,4.575693130493164,22.0,83.64557739557739
axonal,learned,wd,0.003,1,6.513157844543457,4.876753330230713,23.0,83.07739557739558
axonal,learned,wd,0.003,2,6.164473533630371,4.692440986633301,23.0,83.5534398034398
axonal,learned,wd,0.01,0,4.552631378173828,3.210364580154419,14.0,82.61670761670761
axonal,learned,wd,0.01,1,4.8684210777282715,3.6077115535736084,18.0,83.09275184275184
axonal,learned,wd,0.01,2,4.529605388641357,3.535409927368164,19.0,83.36916461916462
axonal,learned,wd,0.03,0,2.75,1.850497841835022,9.0,83.15417690417691
axonal,learned,wd,0.03,1,2.8289473056793213,1.8979778289794922,9.0,83.06203931203932
axonal,learned,wd,0.03,2,2.6282894611358643,1.8218309879302979,9.0,83.15417690417691
axonal,learned,wd,0.04,0,2.2467105388641357,1.500544548034668,7.0,83.56879606879608
axonal,learned,wd,0.04,1,2.3815789222717285,1.46644127368927,6.0,81.89496314496314
axonal,learned,wd,0.04,2,2.2203948497772217,1.500256061553955,6.0,82.66277641277641
axonal,learned,wd,0.05,0,1.9473683834075928,1.326796054840088,6.0,82.55528255528256
axonal,learned,wd,0.05,1,2.10197377204895,1.251103162765503,6.0,82.23280098280098
axonal,learned,wd,0.05,2,1.9046052694320679,1.2802053689956665,6.0,81.31142506142506
axonal,learned,wd,0.06,0,1.6282894611358643,1.1599068641662598,6.0,81.71068796068796
axonal,learned,wd,0.06,1,1.861842155456543,1.1124259233474731,5.0,81.83353808353809
axonal,learned,wd,0.06,2,1.7138158082962036,1.186688780784607,5.0,80.92751842751842
axonal,learned,wd,0.07,0,1.5,1.0227670669555664,4.0,80.71253071253071
axonal,learned,wd,0.07,1,1.5986841917037964,1.0179951190948486,4.0,81.75675675675676
axonal,learned,wd,0.07,2,1.5625,1.0431678295135498,4.0,81.49570024570025
axonal,learned,wd,0.1,0,1.361842155456543,0.9566206336021423,4.0,75.61425061425061
axonal,learned,wd,0.1,1,1.1611841917037964,0.8605039119720459,3.0,79.51474201474201
axonal,learned,wd,0.1,2,1.111842155456543,0.8625950813293457,4.0,79.2536855036855
axonal,learned,std,3.0,0,5.0427632331848145,4.402617454528809,21.0,83.44594594594595
axonal,learned,std,3.0,1,5.138157844543457,4.450087547302246,25.0,83.32309582309583
axonal,learned,std,3.0,2,4.825657844543457,4.364841461181641,22.0,83.81449631449631
axonal,learned,std,8.0,0,7.0789475440979,5.570158004760742,25.0,83.96805896805897
axonal,learned,std,8.0,1,7.684210300445557,5.999365329742432,27.0,83.26167076167076
axonal,learned,std,8.0,2,7.322368621826172,6.052513599395752,31.0,82.002457002457
axonal,learned,std,13.0,0,9.917762756347656,7.717662334442139,36.0,83.61486486486487
axonal,learned,std,13.0,1,11.108552932739258,8.786468505859375,40.0,82.57063882063882
axonal,learned,std,13.0,2,10.355262756347656,8.312488555908203,41.0,82.66277641277641
axonal,learned,std,18.0,0,13.0625,10.358033180236816,46.0,82.83169533169533
axonal,learned,std,18.0,1,14.75,11.53812313079834,57.0,81.91031941031942
axonal,learned,std,18.0,2,13.9046049118042,11.325947761535645,58.0,83.21560196560196
axonal,learned,std,23.0,0,16.457237243652344,13.074614524841309,55.0,82.64742014742015
axonal,learned,std,23.0,1,19.286184310913086,15.286314010620117,79.0,81.86425061425061
axonal,learned,std,23.0,2,17.6282901763916,14.08818531036377,78.0,82.15601965601965
axonal,fixed,std,0.5,0,0.30263158679008484,0.4593970775604248,1.0,70.10135135135135
axonal,fixed,std,0.5,1,0.37828946113586426,0.4983416795730591,2.0,76.33599508599508
axonal,fixed,std,0.5,2,0.30263158679008484,0.4665025472640991,2.0,76.38206388206389
axonal,fixed,std,1.0,0,0.7105262875556946,0.670149028301239,2.0,75.16891891891892
axonal,fixed,std,1.0,1,0.8092105388641357,0.7365777492523193,3.0,79.91400491400492
axonal,fixed,std,1.0,2,0.7796052694320679,0.707649827003479,3.0,77.77948402948402
axonal,fixed,std,2.0,0,1.4638158082962036,1.1465078592300415,5.0,81.18857493857494
axonal,fixed,std,2.0,1,1.707236886024475,1.3290084600448608,7.0,80.98894348894349
axonal,fixed,std,2.0,2,1.5460525751113892,1.2944152355194092,7.0,80.82002457002457
axonal,fixed,std,3.0,0,2.2401316165924072,1.720111608505249,7.0,82.61670761670761
axonal,fixed,std,3.0,1,2.5559210777282715,1.9458537101745605,10.0,82.0945945945946
axonal,fixed,std,3.0,2,2.375,1.887676477432251,10.0,80.98894348894349
axonal,fixed,std,5.0,0,3.7171051502227783,2.7990078926086426,12.0,83.32309582309583
axonal,fixed,std,5.0,1,4.2434210777282715,3.2494871616363525,17.0,82.81633906633907
axonal,fixed,std,5.0,2,3.924342155456543,3.0679047107696533,17.0,83.00061425061425
axonal,fixed,std,8.0,0,5.967105388641357,4.4321160316467285,19.0,83.32309582309583
axonal,fixed,std,8.0,1,6.802631378173828,5.094552516937256,27.0,82.27886977886978
axonal,fixed,std,8.0,2,6.299342155456543,4.887470245361328,27.0,82.81633906633907
axonal,fixed,std,3.0,0,2.2401316165924072,1.720111608505249,7.0,82.34029484029485
axonal,fixed,std,3.0,1,2.5559210777282715,1.9458537101745605,10.0,82.34029484029485
axonal,fixed,std,3.0,2,2.375,1.887676477432251,10.0,82.24815724815724
axonal,fixed,std,8.0,0,5.967105388641357,4.4321160316467285,19.0,83.15417690417691
axonal,fixed,std,8.0,1,6.802631378173828,5.094552516937256,27.0,82.60135135135135
axonal,fixed,std,8.0,2,6.299342155456543,4.887470245361328,27.0,82.4477886977887
axonal,fixed,std,13.0,0,9.7171049118042,7.2215118408203125,31.0,82.21744471744472
axonal,fixed,std,13.0,1,11.078947067260742,8.282453536987305,44.0,82.96990171990171
axonal,fixed,std,13.0,2,10.253289222717285,7.918062210083008,43.0,82.66277641277641
axonal,fixed,std,18.0,0,13.486842155456543,10.005581855773926,43.0,81.77211302211302
axonal,fixed,std,18.0,1,15.365131378173828,11.502640724182129,60.0,81.40356265356266
axonal,fixed,std,18.0,2,14.177631378173828,10.98958969116211,60.0,81.5571253071253
axonal,fixed,std,23.0,0,17.174341201782227,12.753968238830566,55.0,81.57248157248158
axonal,fixed,std,23.0,1,19.595394134521484,14.714524269104004,77.0,81.06572481572482
axonal,fixed,std,23.0,2,18.088815689086914,14.03738021850586,77.0,81.58783783783784
synaptic,learned,wd,0.0,0,6.8811445236206055,5.725601673126221,38.0,84.52088452088452
synaptic,learned,wd,0.0,1,6.77096700668335,5.680649280548096,41.0,84.07555282555282
synaptic,learned,wd,0.0,2,6.901055812835693,5.74416971206665,40.0,84.01412776412776
synaptic,learned,wd,0.001,0,6.279877662658691,5.212813377380371,35.0,83.69164619164619
synaptic,learned,wd,0.001,1,6.14503812789917,5.145186901092529,33.0,84.25982800982801
synaptic,learned,wd,0.001,2,6.258868217468262,5.201230049133301,34.0,84.16769041769042
synaptic,learned,wd,0.003,0,5.2204389572143555,4.3721818923950195,28.0,85.10442260442261
synaptic,learned,wd,0.003,1,5.12793493270874,4.334590911865234,29.0,83.87592137592138
synaptic,learned,wd,0.003,2,5.196642875671387,4.335058212280273,30.0,84.64373464373465
synaptic,learned,wd,0.01,0,2.8177154064178467,2.4688057899475098,18.0,84.21375921375922
synaptic,learned,wd,0.01,1,2.7594382762908936,2.420938491821289,18.0,84.27518427518427
synaptic,learned,wd,0.01,2,2.816722869873047,2.459190607070923,18.0,84.61302211302211
synaptic,learned,wd,0.03,0,0.9092905521392822,1.0333982706069946,8.0,82.72420147420148
synaptic,learned,wd,0.03,1,0.9261824488639832,1.0513619184494019,7.0,82.72420147420148
synaptic,learned,wd,0.03,2,0.9587838053703308,1.0690827369689941,7.0,83.15417690417691
synaptic,learned,wd,0.04,0,0.6630278825759888,0.8233457803726196,5.0,82.4477886977887
synaptic,learned,wd,0.04,1,0.6637457609176636,0.833045244216919,6.0,82.37100737100737
synaptic,learned,wd,0.04,2,0.6762457489967346,0.8417033553123474,7.0,82.06388206388206
synaptic,learned,wd,0.05,0,0.525295615196228,0.7202971577644348,5.0,81.63390663390663
synaptic,learned,wd,0.05,1,0.6223817467689514,0.7728320360183716,6.0,77.11916461916462
synaptic,learned,wd,0.05,2,0.5523648858070374,0.7216801047325134,5.0,80.497542997543
synaptic,learned,wd,0.06,0,0.42715370655059814,0.6233200430870056,4.0,80.46683046683047
synaptic,learned,wd,0.06,1,0.4256334602832794,0.6064141988754272,4.0,80.77395577395578
synaptic,learned,wd,0.06,2,0.4538217782974243,0.6472232937812805,4.0,79.13083538083538
synaptic,learned,wd,0.07,0,0.34841638803482056,0.550218403339386,4.0,79.26904176904176
synaptic,learned,wd,0.07,1,0.33741554617881775,0.548302412033081,4.0,80.08292383292384
synaptic,learned,wd,0.07,2,0.37899070978164673,0.576138973236084,4.0,80.34398034398035
synaptic,learned,wd,0.1,0,0.22791385650634766,0.4400720000267029,3.0,78.71621621621621
synaptic,learned,wd,0.1,1,0.2506967782974243,0.4598875641822815,3.0,78.17874692874693
synaptic,learned,wd,0.1,2,0.2950802445411682,0.4824901521205902,3.0,75.70638820638821
synaptic,learned,std,3.0,0,3.5027661323547363,3.4769136905670166,27.0,84.73587223587224
synaptic,learned,std,3.0,1,3.3916385173797607,3.410003185272217,31.0,84.36732186732186
synaptic,learned,std,3.0,2,3.507031202316284,3.4990031719207764,25.0,84.21375921375922
synaptic,learned,std,8.0,0,6.8690032958984375,5.696414470672607,38.0,84.32125307125307
synaptic,learned,std,8.0,1,6.783636093139648,5.700346946716309,40.0,84.42874692874693
synaptic,learned,std,8.0,2,6.882728099822998,5.728541374206543,40.0,83.737714987715
synaptic,learned,std,13.0,0,10.62641429901123,8.472719192504883,57.0,83.69164619164619
synaptic,learned,std,13.0,1,10.555953979492188,8.431631088256836,63.0,84.06019656019656
synaptic,learned,std,13.0,2,10.632094383239746,8.441373825073242,59.0,82.86240786240786
synaptic,learned,std,18.0,0,14.514949798583984,11.332071304321289,77.0,83.01597051597052
synaptic,learned,std,18.0,1,14.385156631469727,11.28083610534668,79.0,83.35380835380835
synaptic,learned,std,18.0,2,14.514167785644531,11.313098907470703,82.0,82.47850122850123
synaptic,learned,std,23.0,0,18.440773010253906,14.282258033752441,102.0,82.7088452088452
synaptic,learned,std,23.0,1,18.284860610961914,14.228466987609863,101.0,82.77027027027027
synaptic,learned,std,23.0,2,18.490013122558594,14.231194496154785,95.0,82.4017199017199
synaptic,fixed,std,0.5,0,0.3210092782974243,0.47270727157592773,2.0,72.72727272727273
synaptic,fixed,std,0.5,1,0.31530827283859253,0.4699253439903259,2.0,75.07678132678133
synaptic,fixed,std,0.5,2,0.320777028799057,0.47181442379951477,2.0,75.87530712530713
synaptic,fixed,std,1.0,0,0.7652449607849121,0.7099378705024719,4.0,74.33968058968058
synaptic,fixed,std,1.0,1,0.7608952522277832,0.7062757611274719,4.0,78.68550368550369
synaptic,fixed,std,1.0,2,0.7639991641044617,0.7065274715423584,4.0,78.05589680589681
synaptic,fixed,std,2.0,0,1.5817779302597046,1.265455722808838,9.0,81.06572481572482
synaptic,fixed,std,2.0,1,1.5668919086456299,1.2576295137405396,9.0,80.66646191646191
synaptic,fixed,std,2.0,2,1.5812499523162842,1.2620980739593506,8.0,80.57432432432432
synaptic,fixed,std,3.0,0,2.3875844478607178,1.851847529411316,13.0,81.84889434889435
synaptic,fixed,std,3.0,1,2.3689401149749756,1.8416544198989868,13.0,81.91031941031942
synaptic,fixed,std,3.0,2,2.3848395347595215,1.8469175100326538,13.0,82.18673218673219
synaptic,fixed,std,5.0,0,3.9871199131011963,3.0470831394195557,21.0,82.8470515970516
synaptic,fixed,std,5.0,1,3.9601352214813232,3.029237747192383,22.0,82.98525798525799
synaptic,fixed,std,5.0,2,3.9906249046325684,3.034813165664673,21.0,82.43243243243244
synaptic,fixed,std,8.0,0,6.383615016937256,4.85123348236084,34.0,82.86240786240786
synaptic,fixed,std,8.0,1,6.337711334228516,4.824681282043457,35.0,82.72420147420148
synaptic,fixed,std,8.0,2,6.387922286987305,4.832033157348633,33.0,82.63206388206389
synaptic,fixed,std,3.0,0,2.3875844478607178,1.851847529411316,13.0,82.78562653562653
synaptic,fixed,std,3.0,1,2.3689401149749756,1.8416544198989868,13.0,82.0485257985258
synaptic,fixed,std,3.0,2,2.3848395347595215,1.8469175100326538,13.0,81.54176904176904
synaptic,fixed,std,8.0,0,6.383615016937256,4.85123348236084,34.0,82.72420147420148
synaptic,fixed,std,8.0,1,6.337711334228516,4.824681282043457,35.0,82.73955773955774
synaptic,fixed,std,8.0,2,6.387922286987305,4.832033157348633,33.0,83.2002457002457
synaptic,fixed,std,13.0,0,10.378231048583984,7.868290901184082,55.0,82.8470515970516
synaptic,fixed,std,13.0,1,10.304539680480957,7.824315071105957,56.0,81.84889434889435
synaptic,fixed,std,13.0,2,10.385473251342773,7.842267036437988,54.0,82.4017199017199
synaptic,fixed,std,18.0,0,14.373458862304688,10.889139175415039,77.0,81.77211302211302
synaptic,fixed,std,18.0,1,14.272698402404785,10.827951431274414,78.0,82.17137592137593
synaptic,fixed,std,18.0,2,14.382073402404785,10.852066993713379,75.0,81.6031941031941
synaptic,fixed,std,23.0,0,18.36480140686035,13.910667419433594,98.0,81.54176904176904
synaptic,fixed,std,23.0,1,18.235092163085938,13.829390525817871,100.0,80.77395577395578
synaptic,fixed,std,23.0,2,18.3731632232666,13.861818313598633,96.0,81.80282555282555
