family,condition,wd,seed,delay_mean,delay_std,test_acc
axonal,learned,0.0,0,7.1447367668151855,5.459670066833496,83.72235872235872
axonal,learned,0.0,1,7.496710300445557,6.129629611968994,83.70700245700246
axonal,learned,0.0,2,7.549342155456543,6.263212203979492,82.90847665847666
axonal,learned,0.001,0,6.5789475440979,5.361321449279785,84.19840294840294
axonal,learned,0.001,1,7.1677632331848145,5.707925319671631,83.07739557739558
axonal,learned,0.001,2,6.8190789222717285,5.578108310699463,83.00061425061425
axonal,learned,0.003,0,5.976973533630371,4.575693130493164,83.64557739557739
axonal,learned,0.003,1,6.513157844543457,4.876753330230713,83.07739557739558
axonal,learned,0.003,2,6.164473533630371,4.692440986633301,83.5534398034398
axonal,learned,0.01,0,4.552631378173828,3.210364580154419,82.61670761670761
axonal,learned,0.01,1,4.8684210777282715,3.6077115535736084,83.09275184275184
axonal,learned,0.01,2,4.529605388641357,3.535409927368164,83.36916461916462
axonal,learned,0.03,0,2.75,1.850497841835022,83.15417690417691
axonal,learned,0.03,1,2.8289473056793213,1.8979778289794922,83.06203931203932
axonal,learned,0.03,2,2.6282894611358643,1.8218309879302979,83.15417690417691
axonal,learned,0.04,0,2.2467105388641357,1.500544548034668,83.56879606879608
axonal,learned,0.04,1,2.3815789222717285,1.46644127368927,81.89496314496314
axonal,learned,0.04,2,2.2203948497772217,1.500256061553955,82.66277641277641
axonal,learned,0.05,0,1.9473683834075928,1.326796054840088,82.55528255528256
axonal,learned,0.05,1,2.10197377204895,1.251103162765503,82.23280098280098
axonal,learned,0.05,2,1.9046052694320679,1.2802053689956665,81.31142506142506
axonal,learned,0.06,0,1.6282894611358643,1.1599068641662598,81.71068796068796
axonal,learned,0.06,1,1.861842155456543,1.1124259233474731,81.83353808353809
axonal,learned,0.06,2,1.7138158082962036,1.186688780784607,80.92751842751842
axonal,learned,0.07,0,1.5,1.0227670669555664,80.71253071253071
axonal,learned,0.07,1,1.5986841917037964,1.0179951190948486,81.75675675675676
axonal,learned,0.07,2,1.5625,1.0431678295135498,81.49570024570025
axonal,learned,0.1,0,1.361842155456543,0.9566206336021423,75.61425061425061
axonal,learned,0.1,1,1.1611841917037964,0.8605039119720459,79.51474201474201
axonal,learned,0.1,2,1.111842155456543,0.8625950813293457,79.2536855036855
axonal,fixed,,0,5.967105388641357,4.4321160316467285,83.15417690417691
axonal,fixed,,1,6.802631378173828,5.094552516937256,82.60135135135135
axonal,fixed,,2,6.299342155456543,4.887470245361328,82.4477886977887
synaptic,learned,0.0,0,6.8811445236206055,5.725601673126221,84.52088452088452
synaptic,learned,0.0,1,6.77096700668335,5.680649280548096,84.07555282555282
synaptic,learned,0.0,2,6.901055812835693,5.74416971206665,84.01412776412776
synaptic,learned,0.001,0,6.279877662658691,5.212813377380371,83.69164619164619
synaptic,learned,0.001,1,6.14503812789917,5.145186901092529,84.25982800982801
synaptic,learned,0.001,2,6.258868217468262,5.201230049133301,84.16769041769042
synaptic,learned,0.003,0,5.2204389572143555,4.3721818923950195,85.10442260442261
synaptic,learned,0.003,1,5.12793493270874,4.334590911865234,83.87592137592138
synaptic,learned,0.003,2,5.196642875671387,4.335058212280273,84.64373464373465
synaptic,learned,0.01,0,2.8177154064178467,2.4688057899475098,84.21375921375922
synaptic,learned,0.01,1,2.7594382762908936,2.420938491821289,84.27518427518427
synaptic,learned,0.01,2,2.816722869873047,2.459190607070923,84.61302211302211
synaptic,learned,0.03,0,0.9092905521392822,1.0333982706069946,82.72420147420148
synaptic,learned,0.03,1,0.9261824488639832,1.0513619184494019,82.72420147420148
synaptic,learned,0.03,2,0.9587838053703308,1.0690827369689941,83.15417690417691
synaptic,learned,0.04,0,0.6630278825759888,0.8233457803726196,82.4477886977887
synaptic,learned,0.04,1,0.6637457609176636,0.833045244216919,82.37100737100737
synaptic,learned,0.04,2,0.6762457489967346,0.8417033553123474,82.06388206388206
synaptic,learned,0.05,0,0.525295615196228,0.7202971577644348,81.63390663390663
synaptic,learned,0.05,1,0.6223817467689514,0.7728320360183716,77.11916461916462
synaptic,learned,0.05,2,0.5523648858070374,0.7216801047325134,80.497542997543
synaptic,learned,0.06,0,0.42715370655059814,0.6233200430870056,80.46683046683047
synaptic,learned,0.06,1,0.4256334602832794,0.6064141988754272,80.77395577395578
synaptic,learned,0.06,2,0.4538217782974243,0.6472232937812805,79.13083538083538
synaptic,learned,0.07,0,0.34841638803482056,0.550218403339386,79.26904176904176
synaptic,learned,0.07,1,0.33741554617881775,0.548302412033081,80.08292383292384
synaptic,learned,0.07,2,0.37899070978164673,0.576138973236084,80.34398034398035
synaptic,learned,0.1,0,0.22791385650634766,0.4400720000267029,78.71621621621621
synaptic,learned,0.1,1,0.2506967782974243,0.4598875641822815,78.17874692874693
synaptic,learned,0.1,2,0.2950802445411682,0.4824901521205902,75.70638820638821
synaptic,fixed,,0,6.383615016937256,4.85123348236084,82.72420147420148
synaptic,fixed,,1,6.337711334228516,4.824681282043457,82.73955773955774
synaptic,fixed,,2,6.387922286987305,4.832033157348633,83.2002457002457
