tau,H,family,test_nmse_mean,test_nmse_sem
17.0,20,learned_delays,0.033559,0.002310
17.0,20,learned_no_annealing,0.049864,0.002662
17.0,20,fixed_delays,0.050672,0.002668
17.0,20,no_delays,0.185958,0.004444
17.0,30,learned_delays,0.104601,0.007835
17.0,30,learned_no_annealing,0.142887,0.020686
17.0,30,fixed_delays,0.152301,0.022300
17.0,30,no_delays,0.186580,0.004193
17.0,40,learned_delays,0.060331,0.007014
17.0,40,learned_no_annealing,0.077803,0.003693
17.0,40,fixed_delays,0.076084,0.002853
17.0,40,no_delays,0.233627,0.014799
17.0,50,learned_delays,0.138860,0.003875
17.0,50,learned_no_annealing,0.158268,0.008436
17.0,50,fixed_delays,0.158113,0.006136
17.0,50,no_delays,0.219295,0.009527
30.0,20,learned_delays,0.041944,0.003006
30.0,20,learned_no_annealing,0.056866,0.002694
30.0,20,fixed_delays,0.060177,0.003214
30.0,20,no_delays,0.280116,0.006415
30.0,30,learned_delays,0.034574,0.002390
30.0,30,learned_no_annealing,0.043908,0.001523
30.0,30,fixed_delays,0.046211,0.001973
30.0,30,no_delays,0.149144,0.012801
30.0,40,learned_delays,0.104445,0.002131
30.0,40,learned_no_annealing,0.143137,0.004197
30.0,40,fixed_delays,0.142079,0.005941
30.0,40,no_delays,0.419023,0.011157
30.0,50,learned_delays,0.128018,0.015577
30.0,50,learned_no_annealing,0.166736,0.015267
30.0,50,fixed_delays,0.160028,0.011567
30.0,50,no_delays,0.490762,0.010162
40.0,20,learned_delays,0.056678,0.003382
40.0,20,learned_no_annealing,0.081232,0.003060
40.0,20,fixed_delays,0.081700,0.003679
40.0,20,no_delays,0.308698,0.007286
40.0,30,learned_delays,0.056206,0.000587
40.0,30,learned_no_annealing,0.069591,0.002928
40.0,30,fixed_delays,0.070793,0.002431
40.0,30,no_delays,0.194478,0.017800
40.0,40,learned_delays,0.040693,0.000505
40.0,40,learned_no_annealing,0.055578,0.002289
40.0,40,fixed_delays,0.067862,0.004946
40.0,40,no_delays,0.147129,0.013140
40.0,50,learned_delays,0.111818,0.003370
40.0,50,learned_no_annealing,0.132317,0.003456
40.0,50,fixed_delays,0.142100,0.005853
40.0,50,no_delays,0.472481,0.004200
50.0,20,learned_delays,0.118365,0.007066
50.0,20,learned_no_annealing,0.129892,0.006240
50.0,20,fixed_delays,0.127602,0.006853
50.0,20,no_delays,0.532222,0.015817
50.0,30,learned_delays,0.065258,0.002060
50.0,30,learned_no_annealing,0.091089,0.000993
50.0,30,fixed_delays,0.090072,0.000213
50.0,30,no_delays,0.425354,0.002896
50.0,40,learned_delays,0.060037,0.003046
50.0,40,learned_no_annealing,0.083161,0.007064
50.0,40,fixed_delays,0.083381,0.005671
50.0,40,no_delays,0.218838,0.004306
50.0,50,learned_delays,0.040539,0.001507
50.0,50,learned_no_annealing,0.051274,0.002165
50.0,50,fixed_delays,0.051714,0.001766
50.0,50,no_delays,0.163800,0.011291
