model,layer,mean,std,count,sem,stat
ax_fixed,1,9.77265625,0.5705091163649086,5,0.25513943319505467,mean
ax_fixed,2,9.69765625,0.44711293108624284,5,0.19995498150560356,mean
ax_fixed,3,9.51484375,0.38262710753156093,5,0.1711160444949384,mean
ax_learned,1,9.16875,0.49150808761943326,5,0.2198090990815951,mean
ax_learned,2,10.01953125,0.23233158697988904,5,0.10390184436148739,mean
ax_learned,3,11.83125,0.24064529135223056,5,0.10761984598576596,mean
syn_fixed,1,9.567349243164063,0.020693917746254318,5,0.009254601360282779,mean
syn_fixed,2,9.601351928710937,0.017229410842126872,5,0.007705226771053516,mean
syn_fixed,3,9.5626220703125,0.011345692077213766,5,0.0050739477472861545,mean
syn_learned,1,10.35654296875,0.03312716595916626,5,0.014814918997322556,mean
syn_learned,2,10.78673095703125,0.04135239575098075,5,0.018493353586333285,mean
syn_learned,3,10.95606689453125,0.039885193877902486,5,0.01783720096134968,mean
ax_fixed,1,7.183517265319824,0.36148782150641606,5,0.16166226838533135,std
ax_fixed,2,7.312684822082519,0.3406388034710297,5,0.15233830406708274,std
ax_fixed,3,6.96439905166626,0.1878693271601366,5,0.0840177172834426,std
ax_learned,1,10.34506015777588,0.5231142631160576,5,0.23394381046544313,std
ax_learned,2,9.51759967803955,0.43616496359006374,5,0.19505890159822065,std
ax_learned,3,8.357747077941895,0.3213865902940184,5,0.14372845259085984,std
syn_fixed,1,7.228473854064942,0.01269292549553311,5,0.0056764488482704475,std
syn_fixed,2,7.262663841247559,0.017159086994745033,5,0.007673776990416494,std
syn_fixed,3,7.231048107147217,0.014946871924665466,5,0.006684444334907019,std
syn_learned,1,9.33814353942871,0.02711439473905314,5,0.0121259259610571,std
syn_learned,2,9.333251762390137,0.0373973897652917,5,0.01672462113924943,std
syn_learned,3,9.09858570098877,0.049803494975558533,5,0.022272800056483622,std
ax_fixed,1,34.4,2.7928480087537886,5,1.2489995996796797,max
ax_fixed,2,36.4,5.029910535983717,5,2.2494443758403984,max
ax_fixed,3,33.2,1.3038404810405297,5,0.58309518948453,max
ax_learned,1,50.2,2.774887385102322,5,1.2409673645990857,max
ax_learned,2,50.4,5.94138031100518,5,2.657066051117285,max
ax_learned,3,39.4,3.9749213828703582,5,1.7776388834631178,max
syn_fixed,1,53.4,7.092249290598858,5,3.171750305430741,max
syn_fixed,2,52.6,2.7018512172212588,5,1.208304597359457,max
syn_fixed,3,53.8,1.3038404810405295,5,0.5830951894845299,max
syn_learned,1,73.6,4.774934554525329,5,2.1354156504062622,max
syn_learned,2,70.6,7.021395872616783,5,3.1400636936215163,max
syn_learned,3,66.6,3.6469165057620936,5,1.630950643030009,max
ax_fixed,1,0.9102448576803639,0.1864810579149004,5,0.0833968644027585,skew
ax_fixed,2,0.9341142310372297,0.09807678174475185,5,0.04386127019913511,skew
ax_fixed,3,0.9065420617429677,0.06074576707891465,5,0.027166332906764398,skew
ax_learned,1,1.5966290935725127,0.16631921866430163,5,0.07438021577960605,skew
ax_learned,2,1.4229023809985235,0.1346662457070675,5,0.060224575935138434,skew
ax_learned,3,0.8784865360086014,0.10216463362915992,5,0.04568941313823252,skew
syn_fixed,1,0.985387550165953,0.013354183325371511,5,0.005972172339904978,skew
syn_fixed,2,0.9886253876278698,0.01580375773304797,5,0.007067655318206648,skew
syn_fixed,3,0.9896477103634812,0.009164415777384922,5,0.0040984513304608535,skew
syn_learned,1,1.0869081564794487,0.008998509832162499,5,0.004024255936183114,skew
syn_learned,2,1.0134028631100642,0.014514292441719744,5,0.00649098890899935,skew
syn_learned,3,0.9633423401473367,0.015973521574631718,5,0.0071435760161872005,skew
