model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,81.91901350865143,15,0.04255836409695168
ax_fixed,0.25,81.30605436169168,15,0.11434537827580886
ax_fixed,0.5,80.03597945899976,15,0.1607504644671486
ax_fixed,0.75,77.59428253687894,15,0.39212845780798683
ax_fixed,1.0,73.96788015569292,15,0.6829316594132465
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.07405226834135,15,0.04027846607283665
ax_learned,0.25,81.15428646191084,15,0.0832815879721094
ax_learned,0.5,79.52703365714846,15,0.22894694293123155
ax_learned,0.75,75.70470676740915,15,0.37174437565339585
ax_learned,1.0,72.0763418702777,15,0.5153619435405737
