model,std,magnitude,model_seed,perturb_seed,acc
ax_learned,3,0.0,0,0,83.44594594594595
ax_learned,3,0.1,0,0,81.71068796068796
ax_learned,3,0.1,0,1,81.72604422604422
ax_learned,3,0.1,0,2,81.6031941031941
ax_learned,3,0.2,0,0,79.00798525798525
ax_learned,3,0.2,0,1,78.762285012285
ax_learned,3,0.2,0,2,78.4090909090909
ax_learned,3,0.3,0,0,73.61793611793611
ax_learned,3,0.3,0,1,73.24938574938575
ax_learned,3,0.3,0,2,73.58722358722359
ax_learned,3,0.4,0,0,63.71314496314496
ax_learned,3,0.4,0,1,64.34275184275184
ax_learned,3,0.4,0,2,64.51167076167076
ax_learned,3,0.5,0,0,50.691031941031945
ax_learned,3,0.5,0,1,50.0
ax_learned,3,0.5,0,2,50.38390663390663
ax_learned,3,0.0,1,0,83.32309582309583
ax_learned,3,0.1,1,0,81.91031941031942
ax_learned,3,0.1,1,1,82.30958230958231
ax_learned,3,0.1,1,2,82.06388206388206
ax_learned,3,0.2,1,0,79.80651105651106
ax_learned,3,0.2,1,1,79.94471744471744
ax_learned,3,0.2,1,2,79.42260442260442
ax_learned,3,0.3,1,0,74.2014742014742
ax_learned,3,0.3,1,1,74.29361179361179
ax_learned,3,0.3,1,2,74.17076167076166
ax_learned,3,0.4,1,0,65.17199017199017
ax_learned,3,0.4,1,1,65.18734643734643
ax_learned,3,0.4,1,2,64.34275184275184
ax_learned,3,0.5,1,0,52.257371007371006
ax_learned,3,0.5,1,1,51.73525798525799
ax_learned,3,0.5,1,2,51.56633906633907
ax_learned,3,0.0,2,0,83.81449631449631
ax_learned,3,0.1,2,0,82.0485257985258
ax_learned,3,0.1,2,1,82.0945945945946
ax_learned,3,0.1,2,2,81.7414004914005
ax_learned,3,0.2,2,0,79.17690417690417
ax_learned,3,0.2,2,1,78.42444717444718
ax_learned,3,0.2,2,2,78.53194103194103
ax_learned,3,0.3,2,0,72.83476658476658
ax_learned,3,0.3,2,1,72.23587223587224
ax_learned,3,0.3,2,2,72.32800982800983
ax_learned,3,0.4,2,0,63.62100737100737
ax_learned,3,0.4,2,1,63.452088452088454
ax_learned,3,0.4,2,2,63.32923832923833
ax_learned,3,0.5,2,0,50.8445945945946
ax_learned,3,0.5,2,1,50.03071253071253
ax_learned,3,0.5,2,2,50.89066339066339
ax_learned,8,0.0,0,0,83.96805896805897
ax_learned,8,0.1,0,0,82.24815724815724
ax_learned,8,0.1,0,1,82.06388206388206
ax_learned,8,0.1,0,2,82.46314496314497
ax_learned,8,0.2,0,0,79.39189189189189
ax_learned,8,0.2,0,1,79.36117936117937
ax_learned,8,0.2,0,2,79.40724815724816
ax_learned,8,0.3,0,0,73.34152334152334
ax_learned,8,0.3,0,1,73.4490171990172
ax_learned,8,0.3,0,2,73.5411547911548
ax_learned,8,0.4,0,0,64.40417690417691
ax_learned,8,0.4,0,1,64.03562653562653
ax_learned,8,0.4,0,2,64.31203931203932
ax_learned,8,0.5,0,0,49.90786240786241
ax_learned,8,0.5,0,1,49.98464373464373
ax_learned,8,0.5,0,2,50.82923832923833
ax_learned,8,0.0,1,0,83.26167076167076
ax_learned,8,0.1,1,0,81.32678132678133
ax_learned,8,0.1,1,1,81.66461916461917
ax_learned,8,0.1,1,2,81.97174447174447
ax_learned,8,0.2,1,0,79.02334152334153
ax_learned,8,0.2,1,1,78.91584766584766
ax_learned,8,0.2,1,2,79.43796068796068
ax_learned,8,0.3,1,0,74.32432432432432
ax_learned,8,0.3,1,1,73.69471744471744
ax_learned,8,0.3,1,2,74.09398034398035
ax_learned,8,0.4,1,0,66.262285012285
ax_learned,8,0.4,1,1,66.43120393120392
ax_learned,8,0.4,1,2,66.12407862407862
ax_learned,8,0.5,1,0,53.22481572481573
ax_learned,8,0.5,1,1,53.47051597051597
ax_learned,8,0.5,1,2,53.992628992628994
ax_learned,8,0.0,2,0,82.002457002457
ax_learned,8,0.1,2,0,80.60503685503686
ax_learned,8,0.1,2,1,80.08292383292384
ax_learned,8,0.1,2,2,80.02149877149877
ax_learned,8,0.2,2,0,77.73341523341523
ax_learned,8,0.2,2,1,77.88697788697789
ax_learned,8,0.2,2,2,77.27272727272727
ax_learned,8,0.3,2,0,72.32800982800983
ax_learned,8,0.3,2,1,72.77334152334153
ax_learned,8,0.3,2,2,72.57371007371007
ax_learned,8,0.4,2,0,65.1105651105651
ax_learned,8,0.4,2,1,64.89557739557739
ax_learned,8,0.4,2,2,64.55773955773955
ax_learned,8,0.5,2,0,53.562653562653566
ax_learned,8,0.5,2,1,52.64127764127764
ax_learned,8,0.5,2,2,53.43980343980344
ax_learned,13,0.0,0,0,83.61486486486487
ax_learned,13,0.1,0,0,81.63390663390663
ax_learned,13,0.1,0,1,81.71068796068796
ax_learned,13,0.1,0,2,81.61855036855037
ax_learned,13,0.2,0,0,79.05405405405405
ax_learned,13,0.2,0,1,78.6394348894349
ax_learned,13,0.2,0,2,78.97727272727273
ax_learned,13,0.3,0,0,73.08046683046683
ax_learned,13,0.3,0,1,73.8022113022113
ax_learned,13,0.3,0,2,73.8943488943489
ax_learned,13,0.4,0,0,64.74201474201475
ax_learned,13,0.4,0,1,64.41953316953317
ax_learned,13,0.4,0,2,64.63452088452088
ax_learned,13,0.5,0,0,50.98280098280098
ax_learned,13,0.5,0,1,50.26105651105651
ax_learned,13,0.5,0,2,51.48955773955774
