model,std,magnitude,mean,n,sem
ax_fixed,3,0.0,82.30958230958231,3,0.030712530712534658
ax_fixed,3,0.1,80.5009555009555,9,0.09895156654782485
ax_fixed,3,0.2,77.4058149058149,9,0.1959386982537179
ax_fixed,3,0.3,71.58408408408408,9,0.34118635081169146
ax_fixed,3,0.4,62.59896259896259,9,0.3353088501529469
ax_fixed,3,0.5,49.61268086268086,9,0.3501559425248035
ax_fixed,8,0.0,82.734438984439,3,0.21449966052167055
ax_fixed,8,0.1,80.95481845481845,9,0.19186419200695393
ax_fixed,8,0.2,78.00129675129675,9,0.26303268831148646
ax_fixed,8,0.3,72.42355992355994,9,0.2818661199759533
ax_fixed,8,0.4,64.08510783510783,9,0.38423731473692935
ax_fixed,8,0.5,50.98109473109473,9,0.7401047478992714
ax_fixed,13,0.0,82.61670761670761,3,0.21843354108672794
ax_fixed,13,0.1,80.83196833196833,9,0.18473277630942586
ax_fixed,13,0.2,77.62080262080262,9,0.223517345410271
ax_fixed,13,0.3,72.02429702429703,9,0.28849280437276514
ax_fixed,13,0.4,62.8105378105378,9,0.5089737685895424
ax_fixed,13,0.5,49.09398034398035,9,0.6878109937905698
ax_fixed,18,0.0,81.57760032760034,3,0.10688274476771381
ax_fixed,18,0.1,79.88670488670488,9,0.1506292690247306
ax_fixed,18,0.2,76.91953316953317,9,0.25021760959460015
ax_fixed,18,0.3,71.70864045864046,9,0.38853677988557317
ax_fixed,18,0.4,63.23880698880699,9,0.5045963572077882
ax_fixed,18,0.5,50.250819000819,9,0.5421713801268134
ax_fixed,23,0.0,81.4086814086814,3,0.17153558640577438
ax_fixed,23,0.1,79.53351078351078,9,0.14113239096693173
ax_fixed,23,0.2,76.61923286923287,9,0.18268849050401478
ax_fixed,23,0.3,71.18652743652744,9,0.3122755284154486
ax_fixed,23,0.4,62.36520611520612,9,0.4656996721502224
ax_fixed,23,0.5,48.9574802074802,9,0.5866696577938068
ax_learned,3,0.0,83.52784602784602,3,0.14764747237771708
ax_learned,3,0.1,81.91202566202566,9,0.07752187089164254
ax_learned,3,0.2,79.05405405405405,9,0.19302526243821294
ax_learned,3,0.3,73.39100464100464,9,0.26255493889189974
ax_learned,3,0.4,64.18577668577669,9,0.23409251081995355
ax_learned,3,0.5,50.93331968331969,9,0.25961952773150737
ax_learned,8,0.0,83.07739557739558,3,0.5748523808913379
ax_learned,8,0.1,81.38308763308764,9,0.31084586117931673
ax_learned,8,0.2,78.71450996450997,9,0.28240785320743855
ax_learned,8,0.3,73.3466420966421,9,0.22507975906962271
ax_learned,8,0.4,65.12592137592137,9,0.30595001028395946
ax_learned,8,0.5,52.33927108927109,9,0.5443237116322047
ax_learned,13,0.0,82.9494266994267,3,0.33378051570232165
ax_learned,13,0.1,81.20904995904996,9,0.13229778852702828
ax_learned,13,0.2,78.51829101829101,9,0.11360997259498173
ax_learned,13,0.3,73.56333606333607,9,0.16769511901810472
ax_learned,13,0.4,65.21635271635272,9,0.1747409184435971
ax_learned,13,0.5,52.77436527436527,9,0.4889616979112648
ax_learned,18,0.0,82.6525389025389,3,0.3873041039727022
ax_learned,18,0.1,80.90874965874966,9,0.19400314501162896
ax_learned,18,0.2,78.15827190827191,9,0.2858608198158367
ax_learned,18,0.3,73.14018564018563,9,0.2787777196215535
ax_learned,18,0.4,64.54750204750205,9,0.21390333853810342
ax_learned,18,0.5,51.532214032214036,9,0.17153134336362688
ax_learned,23,0.0,82.22256347256346,3,0.22851673101504852
ax_learned,23,0.1,80.66304941304941,9,0.10175828262373954
ax_learned,23,0.2,77.7982527982528,9,0.1393105147779969
ax_learned,23,0.3,72.87401037401038,9,0.3520620000921045
ax_learned,23,0.4,65.07644007644006,9,0.5381073988916202
ax_learned,23,0.5,52.66004641004641,9,0.7446767417553359
syn_fixed,3,0.0,82.12530712530713,3,0.3611171995179641
syn_fixed,3,0.1,80.27914277914277,9,0.17942638229372024
syn_fixed,3,0.2,77.1089271089271,9,0.12778959595434022
syn_fixed,3,0.3,71.13363363363364,9,0.13860341670740708
syn_fixed,3,0.4,61.69294294294294,9,0.18124859029333176
syn_fixed,3,0.5,48.26303576303577,9,0.3502089420549075
syn_fixed,8,0.0,82.88800163800164,3,0.15618495395569684
syn_fixed,8,0.1,81.24146874146874,9,0.09504603110295749
syn_fixed,8,0.2,78.46369096369096,9,0.09501156569035711
syn_fixed,8,0.3,73.07193557193557,9,0.11804006658768545
syn_fixed,8,0.4,64.63281463281463,9,0.2047733089385122
syn_fixed,8,0.5,52.21130221130221,9,0.31163509177268567
syn_fixed,13,0.0,82.36588861588861,3,0.28869960385347226
syn_fixed,13,0.1,80.48730548730549,9,0.07319998795083407
syn_fixed,13,0.2,77.39387114387114,9,0.05586508853311891
syn_fixed,13,0.3,71.8024843024843,9,0.20108268656264236
syn_fixed,13,0.4,62.97604422604422,9,0.2747131482746008
syn_fixed,13,0.5,49.549549549549546,9,0.42504164983453635
syn_fixed,18,0.0,81.8540131040131,3,0.17335886795532604
syn_fixed,18,0.1,79.67171717171716,9,0.10536363329231561
