model,std,magnitude,model_seed,perturb_seed,acc
ax_learned,3,0.0,0,0,83.44594594594595
ax_learned,3,1.0,0,0,78.65479115479116
ax_learned,3,1.0,0,1,79.03869778869779
ax_learned,3,1.0,0,2,78.86977886977887
ax_learned,3,2.0,0,0,75.3531941031941
ax_learned,3,2.0,0,1,74.63144963144963
ax_learned,3,2.0,0,2,74.90786240786241
ax_learned,3,4.0,0,0,65.20270270270271
ax_learned,3,4.0,0,1,64.43488943488944
ax_learned,3,4.0,0,2,64.8495085995086
ax_learned,3,8.0,0,0,50.03071253071253
ax_learned,3,8.0,0,1,49.66216216216216
ax_learned,3,8.0,0,2,50.24570024570025
ax_learned,3,12.0,0,0,41.60012285012285
ax_learned,3,12.0,0,1,41.66154791154791
ax_learned,3,12.0,0,2,41.86117936117936
ax_learned,3,0.0,1,0,83.32309582309583
ax_learned,3,1.0,1,0,79.19226044226045
ax_learned,3,1.0,1,1,78.80835380835381
ax_learned,3,1.0,1,2,79.34582309582309
ax_learned,3,2.0,1,0,75.3531941031941
ax_learned,3,2.0,1,1,75.15356265356266
ax_learned,3,2.0,1,2,74.78501228501229
ax_learned,3,4.0,1,0,66.7536855036855
ax_learned,3,4.0,1,1,66.30835380835381
ax_learned,3,4.0,1,2,66.7997542997543
ax_learned,3,8.0,1,0,52.04238329238329
ax_learned,3,8.0,1,1,52.48771498771499
ax_learned,3,8.0,1,2,52.3955773955774
ax_learned,3,12.0,1,0,44.195331695331696
ax_learned,3,12.0,1,1,44.118550368550366
ax_learned,3,12.0,1,2,43.99570024570025
ax_learned,3,0.0,2,0,83.81449631449631
ax_learned,3,1.0,2,0,79.36117936117937
ax_learned,3,1.0,2,1,79.39189189189189
ax_learned,3,1.0,2,2,79.68366093366093
ax_learned,3,2.0,2,0,76.48955773955774
ax_learned,3,2.0,2,1,75.27641277641278
ax_learned,3,2.0,2,2,76.4588452088452
ax_learned,3,4.0,2,0,67.42936117936118
ax_learned,3,4.0,2,1,66.96867321867322
ax_learned,3,4.0,2,2,68.42751842751842
ax_learned,3,8.0,2,0,52.11916461916462
ax_learned,3,8.0,2,1,52.48771498771499
ax_learned,3,8.0,2,2,52.61056511056511
ax_learned,3,12.0,2,0,44.41031941031941
ax_learned,3,12.0,2,1,44.118550368550366
ax_learned,3,12.0,2,2,45.05528255528255
ax_learned,8,0.0,0,0,83.96805896805897
ax_learned,8,1.0,0,0,79.76044226044226
ax_learned,8,1.0,0,1,79.33046683046683
ax_learned,8,1.0,0,2,79.83722358722359
ax_learned,8,2.0,0,0,77.41093366093367
ax_learned,8,2.0,0,1,76.1517199017199
ax_learned,8,2.0,0,2,76.6431203931204
ax_learned,8,4.0,0,0,67.46007371007371
ax_learned,8,4.0,0,1,67.26044226044226
