model,std,magnitude,mean,n,sem
ax_fixed,3,0.0,82.30958230958231,3,0.030712530712534658
ax_fixed,3,1.0,76.88882063882063,9,0.15369056916464433
ax_fixed,3,2.0,72.12667212667213,9,0.32307460418233996
ax_fixed,3,4.0,62.83783783783784,9,0.5459578880414976
ax_fixed,3,8.0,48.69301119301119,9,0.5686395804664907
ax_fixed,3,12.0,41.39366639366639,9,0.552334260535059
ax_fixed,8,0.0,82.734438984439,3,0.21449966052167055
ax_fixed,8,1.0,78.59507234507234,9,0.2027157002472236
ax_fixed,8,2.0,75.11773136773137,9,0.29696500944611154
ax_fixed,8,4.0,66.19232869232869,9,0.4432462968515869
ax_fixed,8,8.0,52.436527436527435,9,0.797175241005752
ax_fixed,8,12.0,44.88465738465739,9,0.680031214394206
ax_fixed,13,0.0,82.61670761670761,3,0.21843354108672794
ax_fixed,13,1.0,78.74522249522249,9,0.23365371243057795
ax_fixed,13,2.0,75.64837564837565,9,0.2980634203270022
ax_fixed,13,4.0,67.4532487032487,9,0.5005602803709069
ax_fixed,13,8.0,53.322072072072075,9,0.7201135216410517
ax_fixed,13,12.0,45.302689052689054,9,0.5864965682403153
ax_fixed,18,0.0,81.57760032760034,3,0.10688274476771381
ax_fixed,18,1.0,78.23334698334698,9,0.11520358309266937
ax_fixed,18,2.0,75.4163254163254,9,0.17310257827299017
ax_fixed,18,4.0,67.43789243789244,9,0.34301494859125864
ax_fixed,18,8.0,53.58654108654108,9,0.3126645147279316
ax_fixed,18,12.0,45.38629538629539,9,0.3073823222378446
ax_fixed,23,0.0,81.4086814086814,3,0.17153558640577438
ax_fixed,23,1.0,78.05077805077805,9,0.17880874769357644
ax_fixed,23,2.0,75.745631995632,9,0.1737195520913248
ax_fixed,23,4.0,68.35244335244334,9,0.15273812142985682
ax_fixed,23,8.0,54.86281736281737,9,0.270605011817721
ax_fixed,23,12.0,46.51242151242151,9,0.2215369250775009
ax_learned,3,0.0,83.52784602784602,3,0.14764747237771708
ax_learned,3,1.0,79.14960414960416,9,0.11061065389273039
ax_learned,3,2.0,75.37878787878788,9,0.2234733819916375
ax_learned,3,4.0,66.35271635271636,9,0.4324700189638993
ax_learned,3,8.0,51.564632814632816,9,0.4037367962126001
ax_learned,3,12.0,43.446287196287194,9,0.4470770197969513
ax_learned,8,0.0,83.07739557739558,3,0.5748523808913379
ax_learned,8,1.0,79.34241059241059,9,0.2339385583301379
ax_learned,8,2.0,76.51173901173901,9,0.20781627456198104
ax_learned,8,4.0,68.5025935025935,9,0.3292800561912171
ax_learned,8,8.0,54.26392301392301,9,0.5035798922790896
ax_learned,8,12.0,46.671102921102914,9,0.5750504922536773
ax_learned,13,0.0,82.9494266994267,3,0.33378051570232165
ax_learned,13,1.0,79.35776685776686,9,0.07031434091704696
ax_learned,13,2.0,76.16366366366367,9,0.09878593247427146
ax_learned,13,4.0,68.94621894621895,9,0.22750804768614044
ax_learned,13,8.0,55.70911820911821,9,0.2422066216723704
ax_learned,13,12.0,47.38772863772864,9,0.2766430771146137
ax_learned,18,0.0,82.6525389025389,3,0.3873041039727022
ax_learned,18,1.0,79.22979797979798,9,0.19000014888172398
ax_learned,18,2.0,76.62605787605787,9,0.285097249893331
ax_learned,18,4.0,68.71587496587497,9,0.4659035808319974
ax_learned,18,8.0,54.555692055692056,9,0.624828932191554
ax_learned,18,12.0,46.28719628719629,9,0.516251119203626
ax_learned,23,0.0,82.22256347256346,3,0.22851673101504852
ax_learned,23,1.0,78.66844116844118,9,0.08639347348984881
ax_learned,23,2.0,76.06128856128856,9,0.19489024787886486
ax_learned,23,4.0,68.97522522522522,9,0.2622956211999189
ax_learned,23,8.0,55.79613704613705,9,0.5915601979318844
ax_learned,23,12.0,47.75798525798526,9,0.5703336156656007
syn_fixed,3,0.0,82.12530712530713,3,0.3611171995179641
syn_fixed,3,1.0,76.40765765765767,9,0.24798242247726007
syn_fixed,3,2.0,71.82637182637183,9,0.3091024606602527
syn_fixed,3,4.0,63.08695058695059,9,0.22900033791475027
syn_fixed,3,8.0,49.44376194376194,9,0.18658507994904117
syn_fixed,3,12.0,42.0573983073983,9,0.1811341092428693
syn_fixed,8,0.0,82.88800163800164,3,0.15618495395569684
syn_fixed,8,1.0,78.57118482118481,9,0.14561736261699804
syn_fixed,8,2.0,75.52040677040677,9,0.19782588681155913
syn_fixed,8,4.0,68.17669942669943,9,0.3099278358562779
syn_fixed,8,8.0,54.74337974337974,9,0.31278321053026853
syn_fixed,8,12.0,46.48512148512148,9,0.3533929038751254
syn_fixed,13,0.0,82.36588861588861,3,0.28869960385347226
syn_fixed,13,1.0,78.39714714714715,9,0.15495922112670932
syn_fixed,13,2.0,75.7848757848758,9,0.183052659919566
syn_fixed,13,4.0,68.37974337974339,9,0.3653769810080305
syn_fixed,13,8.0,55.31156156156156,9,0.340218632189253
syn_fixed,13,12.0,46.93727818727819,9,0.2911972363716415
syn_fixed,18,0.0,81.8540131040131,3,0.17335886795532604
syn_fixed,18,1.0,78.28965328965329,9,0.19095731528127977
syn_fixed,18,2.0,75.41291291291292,9,0.17102779754820374
syn_fixed,18,4.0,67.6579989079989,9,0.11575191957324545
syn_fixed,18,8.0,55.342274092274096,9,0.10058205469007292
syn_fixed,18,12.0,47.63172263172263,9,0.20771643656848282
syn_fixed,23,0.0,81.37285012285012,3,0.3087844212091654
syn_fixed,23,1.0,78.25211575211576,9,0.20934985317362523
