model,std,magnitude,mean,n,sem
ax_fixed,3,1,82.30958230958231,3,0.030712530712534658
ax_fixed,3,2,77.86650286650287,3,0.3546746969967256
ax_fixed,3,3,69.47686322686323,3,0.21284421464262818
ax_fixed,3,4,63.513513513513516,3,0.16419957956946504
ax_fixed,8,1,82.734438984439,3,0.21449966052167055
ax_fixed,8,2,79.97031122031122,3,0.19349977652985215
ax_fixed,8,3,72.63513513513514,3,0.31632912685258263
ax_fixed,8,4,66.17526617526617,3,0.22010647010647233
ax_fixed,13,1,82.61670761670761,3,0.21843354108672794
ax_fixed,13,2,80.22113022113022,3,0.4024982316363987
ax_fixed,13,3,73.52579852579852,3,0.42120232549489856
ax_fixed,13,4,66.71273546273547,3,0.5019512969750721
ax_fixed,18,1,81.57760032760034,3,0.10688274476771381
ax_fixed,18,2,79.35606060606061,3,0.15618495395568888
ax_fixed,18,3,72.993447993448,3,0.337876614060385
ax_fixed,18,4,66.74856674856674,3,0.4256884292852545
ax_fixed,23,1,81.4086814086814,3,0.17153558640577438
ax_fixed,23,2,79.23832923832924,3,0.07729150732258884
ax_fixed,23,3,72.83988533988533,3,0.6100345000702752
ax_fixed,23,4,66.39537264537265,3,0.32651880495120705
ax_learned,3,1,83.52784602784602,3,0.14764747237771708
ax_learned,3,2,80.48730548730548,3,0.34432903478382776
ax_learned,3,3,72.56859131859132,3,0.1692288621500434
ax_learned,3,4,65.91932841932841,3,0.148708425945268
ax_learned,8,1,83.07739557739558,3,0.5748523808913379
ax_learned,8,2,80.30814905814906,3,0.37324816695606217
ax_learned,8,3,72.5941850941851,3,0.318475434690871
ax_learned,8,4,66.46703521703522,3,0.30971641088054397
ax_learned,13,1,82.9494266994267,3,0.33378051570232165
ax_learned,13,2,80.497542997543,3,0.18320567330234797
ax_learned,13,3,73.69983619983621,3,0.02850002233226217
ax_learned,13,4,66.38001638001639,3,0.333191248163903
ax_learned,18,1,82.6525389025389,3,0.3873041039727022
ax_learned,18,2,80.05221130221129,3,0.08125771839878643
ax_learned,18,3,73.75614250614251,3,0.24134265426138837
ax_learned,18,4,66.56429156429157,3,0.06290031596767215
ax_learned,23,1,82.22256347256346,3,0.22851673101504852
ax_learned,23,2,80.10339885339886,3,0.08426534415005349
ax_learned,23,3,73.63329238329239,3,0.7398682008662846
ax_learned,23,4,66.92260442260442,3,0.5281751695921361
syn_fixed,3,1,82.12530712530713,3,0.3611171995179641
syn_fixed,3,2,78.38861588861589,3,0.29369345388577167
syn_fixed,3,3,69.64066339066339,3,0.2084911123506997
syn_fixed,3,4,63.41113841113841,3,0.5127194108269028
syn_fixed,8,1,82.88800163800164,3,0.15618495395569684
syn_fixed,8,2,80.18529893529893,3,0.20107001782762315
syn_fixed,8,3,73.08046683046683,3,0.32248157248157266
syn_fixed,8,4,66.39537264537265,3,0.296755385762402
syn_fixed,13,1,82.36588861588861,3,0.28869960385347226
syn_fixed,13,2,79.79627354627354,3,0.21577844910276725
syn_fixed,13,3,73.21355446355447,3,0.45677540490871354
syn_fixed,13,4,66.66666666666667,3,0.47780227186971036
syn_fixed,18,1,81.8540131040131,3,0.17335886795532604
syn_fixed,18,2,79.494266994267,3,0.6369508693817456
syn_fixed,18,3,74.23730548730549,3,0.5773992077069442
syn_fixed,18,4,67.86957411957412,3,0.1072498302608361
syn_fixed,23,1,81.37285012285012,3,0.3087844212091654
syn_fixed,23,2,79.41748566748566,3,0.22312136279385092
syn_fixed,23,3,73.96601146601147,3,0.4809178719448435
syn_fixed,23,4,67.37817362817363,3,0.48773437069303344
syn_learned,3,1,84.43898443898443,3,0.15492164158907856
syn_learned,3,2,80.45659295659296,3,0.13915107718128764
syn_learned,3,3,70.81285831285831,3,0.36440359808676837
syn_learned,3,4,65.08497133497133,3,0.19712192377118845
syn_learned,8,1,84.16257166257166,3,0.21468281096960046
syn_learned,8,2,81.46498771498771,3,0.39817861337211835
syn_learned,8,3,72.61977886977887,3,0.05392943157684453
syn_learned,8,4,66.15479115479116,3,0.2214712085665853
syn_learned,13,1,83.53808353808354,3,0.35419418288300586
syn_learned,13,2,80.62039312039312,3,0.314834650177761
syn_learned,13,3,72.1590909090909,3,0.20391671055530144
syn_learned,13,4,66.04217854217855,3,0.2632055719120034
syn_learned,18,1,82.9494266994267,3,0.2548605504607827
syn_learned,18,2,79.58640458640458,3,0.24861557011836571
syn_learned,18,3,71.92874692874693,3,0.17798258241926104
syn_learned,18,4,65.80159705159706,3,0.3071253071253099
syn_learned,23,1,82.62694512694513,3,0.11400008932903581
syn_learned,23,2,80.2006552006552,3,0.3778528979107338
syn_learned,23,3,72.82964782964784,3,0.07540397145094346
syn_learned,23,4,66.15479115479116,3,0.30026636724124567
