model,layer,seed,mean,std,max,skew
ax_learned,1,0,9.05078125,10.542387962341309,54.0,1.6781632607960448
ax_learned,2,0,9.82421875,9.23416805267334,45.0,1.330660551796128
ax_learned,3,0,11.8203125,8.485219955444336,37.0,0.9102032743284294
ax_learned,1,1,9.56640625,10.599761962890625,47.0,1.428498744605015
ax_learned,2,1,9.765625,9.065718650817871,48.0,1.4650720803799717
ax_learned,3,1,11.5078125,8.178665161132812,38.0,0.8262909394233413
ax_learned,1,2,8.390625,9.41012954711914,51.0,1.7526706223167572
ax_learned,2,2,10.29296875,9.925705909729004,59.0,1.6210086255858962
ax_learned,3,2,11.921875,8.406293869018555,40.0,0.8596503634384219
ax_learned,1,3,9.23828125,10.579768180847168,51.0,1.7183871034119025
ax_learned,2,3,10.0,9.323189735412598,46.0,1.2712643901663758
ax_learned,3,3,11.7421875,7.933557510375977,36.0,0.7623271149937846
ax_learned,1,4,9.59765625,10.593253135681152,48.0,1.4054257367328435
ax_learned,2,4,10.21484375,10.039216041564941,54.0,1.426506257064246
ax_learned,3,4,12.1640625,8.784998893737793,46.0,1.03396098785903
ax_fixed,1,0,9.8125,7.326375961303711,33.0,0.8173199029406176
ax_fixed,2,0,9.83984375,7.602536678314209,36.0,0.9422782974564909
ax_fixed,3,0,10.12109375,7.185391902923584,34.0,0.8974202966104625
ax_fixed,1,1,10.671875,7.59431266784668,35.0,0.7804520921018478
ax_fixed,2,1,9.2734375,7.131811141967773,35.0,1.0099210007083104
ax_fixed,3,1,9.15234375,6.944831848144531,31.0,0.8618382958265842
ax_fixed,1,2,9.33984375,6.646025657653809,33.0,1.1029572907938845
ax_fixed,2,2,10.19140625,7.674943923950195,34.0,0.806394033692318
ax_fixed,3,2,9.234375,7.037827014923096,33.0,0.8644756361120063
ax_fixed,1,3,9.81640625,7.324607849121094,39.0,1.1202235127914397
ax_fixed,2,3,9.18359375,6.8477783203125,32.0,0.8682579306878554
ax_fixed,3,3,9.47265625,6.670775413513184,34.0,0.8983126818620799
ax_fixed,1,4,9.22265625,7.026264190673828,32.0,0.730271489774029
ax_fixed,2,4,10.0,7.30635404586792,45.0,1.0437198926411733
ax_fixed,3,4,9.59375,6.983169078826904,34.0,1.0106633983037054
syn_learned,1,0,10.314285278320312,9.322356224060059,69.0,1.0886925904796916
syn_learned,2,0,10.766265869140625,9.371033668518066,77.0,1.0201321565466082
syn_learned,3,0,10.950119018554688,9.066746711730957,61.0,0.9457159272097428
syn_learned,1,1,10.378433227539062,9.36989974975586,79.0,1.0936059557364346
syn_learned,2,1,10.7503662109375,9.292342185974121,75.0,1.005725722711347
syn_learned,3,1,10.943161010742188,9.05460262298584,69.0,0.9665333031229398
syn_learned,1,2,10.374755859375,9.336907386779785,78.0,1.0941944520362024
syn_learned,2,2,10.784713745117188,9.358481407165527,75.0,1.0357577667803013
syn_learned,3,2,10.979461669921875,9.18188190460205,70.0,0.9786594255702991
syn_learned,1,3,10.387542724609375,9.358821868896484,73.0,1.0860393978913905
syn_learned,2,3,10.775146484375,9.293807029724121,64.0,1.0048861256607176
syn_learned,3,3,10.900863647460938,9.096736907958984,65.0,0.9781451955605737
syn_learned,1,4,10.32769775390625,9.302732467651367,69.0,1.0720083862535255
syn_learned,2,4,10.857162475585938,9.350594520568848,62.0,1.0005125438513476
syn_learned,3,4,11.006729125976562,9.092960357666016,68.0,0.9476578492731281
syn_fixed,1,0,9.590866088867188,7.20862340927124,51.0,0.9721041001933216
syn_fixed,2,0,9.615264892578125,7.246830940246582,53.0,0.9764541738846031
syn_fixed,3,0,9.559097290039062,7.2298970222473145,53.0,0.9743677077755685
syn_fixed,1,1,9.560928344726562,7.234107971191406,55.0,0.9897171532219001
syn_fixed,2,1,9.614181518554688,7.268192768096924,50.0,0.9816498272358812
syn_fixed,3,1,9.56512451171875,7.246252059936523,52.0,0.998817754586196
syn_fixed,1,2,9.547714233398438,7.233053207397461,65.0,0.98479309479396
syn_fixed,2,2,9.575531005859375,7.2539873123168945,51.0,0.9830223146435945
syn_fixed,3,2,9.552352905273438,7.242430210113525,55.0,0.9897003570397138
syn_fixed,1,3,9.549514770507812,7.241988658905029,48.0,1.0055272948208882
syn_fixed,2,3,9.591888427734375,7.29005765914917,57.0,1.0162411486660308
syn_fixed,3,3,9.55548095703125,7.208129405975342,54.0,0.9927980048301311
syn_fixed,1,4,9.587722778320312,7.22459602355957,48.0,0.9747961077996947
syn_fixed,2,4,9.609893798828125,7.254250526428223,52.0,0.9857594737092388
syn_fixed,3,4,9.5810546875,7.228531837463379,55.0,0.9925547275857963
