model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,81.98900991070553,15,0.04170002792188557
ax_fixed,0.25,81.72374317207995,15,0.0424909755380354
ax_fixed,0.5,81.20334936054688,15,0.04435569970780136
ax_fixed,0.75,80.05952965034507,15,0.0664960958369972
ax_fixed,1.0,73.96788015569292,15,0.6829316594132465
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.24708075753115,15,0.06957810664079468
ax_learned,0.25,81.82612108723383,15,0.06114321235363422
ax_learned,0.5,80.66561999149576,15,0.10440083590350804
ax_learned,0.75,79.17770581885978,15,0.1365517557962305
ax_learned,1.0,72.0763418702777,15,0.5153619435405737
