model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,81.99031825466915,15,0.048260743473422865
ax_fixed,0.25,81.88565073757891,15,0.05516544093878447
ax_fixed,0.5,81.54613547901744,15,0.07052011674537043
ax_fixed,0.75,81.25797272102837,15,0.061869666752646456
ax_fixed,1.0,80.82687338501292,15,0.06486147835155795
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.30922709580348,15,0.05432160226579387
ax_learned,0.25,82.1097046413502,15,0.0459048778711895
ax_learned,0.5,81.78131030647957,15,0.05198653802737526
ax_learned,0.75,81.43623458607269,15,0.0476589254902526
ax_learned,1.0,80.92499918228503,15,0.04664568652184554
