model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,82.07372518235044,15,0.05275870526870645
ax_fixed,0.25,82.06129591469598,15,0.04594398175925229
ax_fixed,0.5,81.88957576946979,15,0.03580636672210278
ax_fixed,0.75,81.54646256500834,15,0.053763198478926126
ax_fixed,1.0,80.82687338501292,15,0.06486147835155795
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.39394236744839,15,0.051608560687525326
ax_learned,0.25,82.30791875183986,15,0.0530156131151372
ax_learned,0.5,82.08288359009585,15,0.059026885441181655
ax_learned,0.75,81.79243123017041,15,0.06194459470546352
ax_learned,1.0,80.92499918228503,15,0.04664568652184554
