model,layer,selection,magnitude,model_seed,perturb_seed,dose,acc
ax_learned,1,random,0.0,0,0,0.0,82.58757727406535
ax_learned,1,random,0.1,0,0,1.53125,81.70935138848003
ax_learned,1,random,0.1,0,1,0.796875,82.03316651947797
ax_learned,1,random,0.1,0,2,0.7890625,82.1509174762045
ax_learned,1,random,0.25,0,0,3.2421875,81.12550289471102
ax_learned,1,random,0.25,0,1,2.578125,81.07153370621137
ax_learned,1,random,0.25,0,2,2.046875,81.57197527229908
ax_learned,1,random,0.5,0,0,4.78125,79.61927190658425
ax_learned,1,random,0.5,0,1,5.2265625,78.01491512118535
ax_learned,1,random,0.5,0,2,5.0390625,81.03228338730253
ax_learned,1,random,0.75,0,0,7.953125,77.23481503287215
ax_learned,1,random,0.75,0,1,8.40625,74.55107447748013
ax_learned,1,random,0.75,0,2,8.0234375,76.89137474241979
ax_learned,1,random,1.0,0,0,10.3828125,72.07339809635954
ax_learned,1,random,1.0,0,1,10.890625,73.82494357766657
ax_learned,1,random,1.0,0,2,10.375,73.05956235894416
ax_learned,1,long,0.1,0,0,1.0,82.17054263565892
ax_learned,1,long,0.1,0,1,1.0546875,82.1509174762045
ax_learned,1,long,0.1,0,2,0.9296875,82.25885585320381
ax_learned,1,long,0.25,0,0,2.609375,82.00863507015994
ax_learned,1,long,0.25,0,1,2.296875,81.6799136492984
ax_learned,1,long,0.25,0,2,2.5078125,81.6799136492984
ax_learned,1,long,0.5,0,0,5.390625,81.07643999607497
ax_learned,1,long,0.5,0,1,5.203125,80.68884309685016
ax_learned,1,long,0.5,0,2,5.140625,81.16475321361986
ax_learned,1,long,0.75,0,0,8.546875,79.05014228240604
ax_learned,1,long,0.75,0,1,7.8359375,79.07467373172408
ax_learned,1,long,0.75,0,2,8.15625,78.79010891963497
ax_learned,1,short,0.1,0,0,0.0,82.58757727406535
ax_learned,1,short,0.1,0,1,0.0,82.58757727406535
ax_learned,1,short,0.1,0,2,0.0,82.58757727406535
ax_learned,1,short,0.25,0,0,0.0546875,82.46982631733883
ax_learned,1,short,0.25,0,1,0.0546875,82.22941811402218
ax_learned,1,short,0.25,0,2,0.0546875,82.41585712883918
ax_learned,1,short,0.5,0,0,0.9765625,81.61613188107154
ax_learned,1,short,0.5,0,1,1.015625,81.50819350407222
ax_learned,1,short,0.5,0,2,0.953125,81.22853498184672
