sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
T,50.0,50,256,256,25,1.0,29,fwd,v2,29.75436782836914,57.556640625,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwd,v1,44.40768051147461,68.779296875,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwd,triton_exact,16.374784469604492,62.7822265625,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwd,eventdriven,31.047679901123047,50.029296875,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwdbwd,v2,57.139198303222656,432.86376953125,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwdbwd,v1,177.47763061523438,436.33642578125,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwdbwd,triton_exact,70.82086181640625,137.06298828125,0.1131191998720169
T,50.0,50,256,256,25,1.0,29,fwdbwd,eventdriven,64.58048248291016,137.31298828125,0.1131191998720169
T,100.0,100,256,256,25,1.0,29,fwd,v2,46.30732727050781,108.556640625,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwd,v1,72.49612426757812,98.029296875,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwd,triton_exact,22.705087661743164,130.2822265625,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwd,eventdriven,38.35830307006836,103.029296875,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwdbwd,v2,111.4549789428711,858.36376953125,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwdbwd,v1,345.3378601074219,847.83642578125,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwdbwd,triton_exact,114.55693054199219,283.06298828125,0.1151387020945549
T,100.0,100,256,256,25,1.0,29,fwdbwd,eventdriven,145.4571533203125,283.31298828125,0.1151387020945549
T,250.0,250,256,256,25,1.0,29,fwd,v2,109.03040313720703,257.556640625,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwd,v1,189.38265991210938,209.529296875,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwd,triton_exact,47.17465591430664,312.7822265625,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwd,eventdriven,72.90444946289062,250.029296875,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwdbwd,v2,275.6986999511719,2138.36376953125,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwdbwd,v1,867.3423461914062,2084.33642578125,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,273.09765625,626.56298828125,0.11647504568099976
T,250.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,326.319091796875,626.81298828125,0.11647504568099976
T,500.0,500,256,256,25,1.0,29,fwd,v2,200.98150634765625,508.556640625,0.11695593595504761
