dataset,kind,mode,regime,T,B,time_ms,mem_mib,firing
SSC,axonal,v2,fwd,250,256,254.3973388671875,271.701171875,0.018423036051293213
SSC,axonal,v1,fwd,250,256,307.5184631347656,250.291015625,0.018423036051293213
SSC,axonal,triton_exact,fwd,250,256,67.22866821289062,376.0419921875,0.018423036051293213
SSC,axonal,eventdriven,fwd,250,256,77.68370819091797,313.2890625,0.018423036051293213
SSC,axonal,vanilla,fwd,250,256,157.49530029296875,190.3125,0.018145955866202712
SSC,axonal,v2,fwdbwd,250,256,904.06298828125,8401.43505859375,0.018423036051293213
SSC,axonal,v1,fwdbwd,250,256,1740.93212890625,8199.767578125,0.018423036051293213
SSC,axonal,triton_exact,fwdbwd,250,256,340.2711181640625,1169.171875,0.018423036051293213
SSC,axonal,eventdriven,fwdbwd,250,256,351.3548889160156,1045.919921875,0.018423036051293213
SSC,axonal,vanilla,fwdbwd,250,256,609.2196044921875,919.51025390625,0.018145955866202712
SSC,synaptic,v2,fwd,250,256,190.3462371826172,323.75,0.018745972619702417
SSC,synaptic,v1,fwd,250,256,386.6501159667969,276.5,0.018745972619702417
SSC,synaptic,eventdriven,fwd,250,256,88.97740936279297,203.7529296875,0.018745972619702417
SSC,synaptic,vanilla,fwd,250,256,125.94790649414062,190.3125,0.018145955866202712
SSC,synaptic,v2,fwdbwd,250,256,971.2034912109375,11485.43115234375,0.018745972619702417
SSC,synaptic,v1,fwdbwd,250,256,2183.844970703125,11520.01171875,0.018745972619702417
SSC,synaptic,eventdriven,fwdbwd,250,256,425.5979309082031,712.1416015625,0.018745972619702417
SSC,synaptic,vanilla,fwdbwd,250,256,568.2247924804688,919.51025390625,0.018145955866202712
HAR,axonal,v2,fwd,200,256,145.3618621826172,172.9375,0.09323817864060402
HAR,axonal,v1,fwd,200,256,163.33209228515625,172.9375,0.09323817864060402
HAR,axonal,triton_exact,fwd,200,256,31.118112564086914,206.67724609375,0.09323817864060402
HAR,axonal,eventdriven,fwd,200,256,38.340606689453125,172.34375,0.09323817864060402
HAR,axonal,vanilla,fwd,200,256,106.16806030273438,172.9375,0.16223470866680145
HAR,axonal,v2,fwdbwd,200,256,434.03875732421875,1302.26513671875,0.09323817864060402
HAR,axonal,v1,fwdbwd,200,256,580.7216796875,1301.42431640625,0.09323817864060402
HAR,axonal,triton_exact,fwdbwd,200,256,149.106689453125,517.58544921875,0.09323817864060402
HAR,axonal,eventdriven,fwdbwd,200,256,153.95123291015625,468.552734375,0.09323817864060402
HAR,axonal,vanilla,fwdbwd,200,256,316.2654724121094,636.318359375,0.16223470866680145
HAR,synaptic,v2,fwd,200,256,133.60946655273438,172.9375,0.09243871551007032
HAR,synaptic,v1,fwd,200,256,245.2613067626953,172.9375,0.09243871551007032
HAR,synaptic,eventdriven,fwd,200,256,35.884033203125,172.34375,0.09243871551007032
HAR,synaptic,vanilla,fwd,200,256,109.81990051269531,172.9375,0.16223470866680145
HAR,synaptic,v2,fwdbwd,200,256,375.48565673828125,1479.669921875,0.09243871551007032
HAR,synaptic,v1,fwdbwd,200,256,679.340087890625,1310.3037109375,0.09243871551007032
HAR,synaptic,eventdriven,fwdbwd,200,256,152.14810180664062,400.1181640625,0.09243871551007032
HAR,synaptic,vanilla,fwdbwd,200,256,311.4025573730469,636.318359375,0.16223470866680145
PSMNIST,axonal,v2,fwd,784,256,768.3082275390625,671.4658203125,0.06955421933283408
PSMNIST,axonal,v1,fwd,784,256,863.3128662109375,552.55419921875,0.06955421933283408
PSMNIST,axonal,triton_exact,fwd,784,256,201.0091552734375,974.56884765625,0.06955421933283408
PSMNIST,axonal,eventdriven,fwd,784,256,207.01695251464844,812.08154296875,0.06955421933283408
PSMNIST,axonal,vanilla,fwd,784,256,513.3997802734375,487.8330078125,0.08427715736130874
PSMNIST,axonal,v2,fwdbwd,784,256,3723.54345703125,19523.2607421875,0.06955421933283408
PSMNIST,axonal,v1,fwdbwd,784,256,5802.521484375,19689.63037109375,0.06955421933283408
PSMNIST,axonal,triton_exact,fwdbwd,784,256,484.5793151855469,2371.13623046875,0.06955421933283408
PSMNIST,axonal,eventdriven,fwdbwd,784,256,491.32666015625,2159.298828125,0.06955421933283408
PSMNIST,axonal,vanilla,fwdbwd,784,256,2940.267578125,1830.42578125,0.08427715736130874
PSMNIST,synaptic,v2,fwd,784,256,639.6805419921875,713.8759765625,0.07409875622640054
PSMNIST,synaptic,v1,fwd,784,256,1310.6390380859375,568.64111328125,0.0740987341850996
PSMNIST,synaptic,eventdriven,fwd,784,256,269.6806335449219,502.6669921875,0.07409875622640054
PSMNIST,synaptic,vanilla,fwd,784,256,502.6672668457031,487.8330078125,0.08427715736130874
PSMNIST,synaptic,v2,fwdbwd,784,256,3845.307373046875,25412.818359375,0.07409875622640054
PSMNIST,synaptic,v1,fwdbwd,784,256,6863.12255859375,19946.1513671875,0.0740987341850996
PSMNIST,synaptic,eventdriven,fwdbwd,784,256,2276.90185546875,1332.64892578125,0.07409875622640054
PSMNIST,synaptic,vanilla,fwdbwd,784,256,2932.154296875,1830.42578125,0.08427715736130874
