kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
axonal,T,50.0,50,256,256,25,1.0,29,fwd,v2,13.343744277954102,57.556640625,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwd,v1,15.47980785369873,68.779296875,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwd,triton_exact,3.083264112472534,62.7822265625,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwd,eventdriven,5.485536098480225,50.029296875,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwd,vanilla,8.503423690795898,38.0,0.12423125654459
axonal,T,50.0,50,256,256,25,1.0,29,fwdbwd,v2,45.244415283203125,432.86376953125,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwdbwd,v1,70.31903839111328,436.33642578125,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwdbwd,triton_exact,20.248319625854492,137.06298828125,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwdbwd,eventdriven,23.588703155517578,137.31298828125,0.1131191998720169
axonal,T,50.0,50,256,256,25,1.0,29,fwdbwd,vanilla,30.457759857177734,63.0,0.12423125654459
axonal,T,100.0,100,256,256,25,1.0,29,fwd,v2,27.14009666442871,108.556640625,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwd,v1,31.484928131103516,98.029296875,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwd,triton_exact,6.43174409866333,130.2822265625,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwd,eventdriven,11.33897590637207,103.029296875,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwd,vanilla,16.755712509155273,76.5,0.12428054213523865
axonal,T,100.0,100,256,256,25,1.0,29,fwdbwd,v2,87.1905288696289,858.36376953125,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwdbwd,v1,142.2869110107422,847.83642578125,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwdbwd,triton_exact,40.271873474121094,283.06298828125,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwdbwd,eventdriven,45.13996887207031,283.31298828125,0.1151387020945549
axonal,T,100.0,100,256,256,25,1.0,29,fwdbwd,vanilla,55.26108932495117,126.5,0.12428054213523865
axonal,T,250.0,250,256,256,25,1.0,29,fwd,v2,67.26041412353516,257.556640625,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwd,v1,77.7738265991211,209.529296875,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwd,triton_exact,16.665599822998047,312.7822265625,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwd,eventdriven,29.00873565673828,250.029296875,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwd,vanilla,42.31679916381836,188.0,0.12425623089075089
axonal,T,250.0,250,256,256,25,1.0,29,fwdbwd,v2,205.63046264648438,2137.36376953125,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwdbwd,v1,359.2878112792969,2084.33642578125,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,99.58525085449219,626.56298828125,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,110.887939453125,626.81298828125,0.11647504568099976
axonal,T,250.0,250,256,256,25,1.0,29,fwdbwd,vanilla,129.8360595703125,313.0,0.12425623089075089
axonal,T,500.0,500,256,256,25,1.0,29,fwd,v2,135.6215057373047,508.556640625,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwd,v1,155.79248046875,398.029296875,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwd,triton_exact,33.688575744628906,630.2822265625,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwd,eventdriven,58.444801330566406,503.029296875,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwd,vanilla,84.40422058105469,376.5,0.12432434409856796
axonal,T,500.0,500,256,256,25,1.0,29,fwdbwd,v2,405.19549560546875,4260.36376953125,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwdbwd,v1,717.0580444335938,4147.83642578125,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwdbwd,triton_exact,195.9854736328125,1197.06298828125,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwdbwd,eventdriven,219.70944213867188,1197.31298828125,0.11695593595504761
axonal,T,500.0,500,256,256,25,1.0,29,fwdbwd,vanilla,241.20816040039062,626.5,0.12432434409856796
axonal,T,1000.0,1000,256,256,25,1.0,29,fwd,v2,261.818359375,1007.556640625,0.11717294901609421
axonal,T,1000.0,1000,256,256,25,1.0,29,fwd,v1,306.3407897949219,772.029296875,0.11717337369918823
axonal,T,1000.0,1000,256,256,25,1.0,29,fwd,triton_exact,67.36998748779297,1250.2822265625,0.1171722337603569
