kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
synaptic,T,50.0,50,256,256,25,1.0,29,fwd,v2,14.326784133911133,78.75,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwd,v1,30.506752014160156,68.75,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwd,eventdriven,31.100927352905273,33.2529296875,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwd,vanilla,10.35961627960205,38.0,0.12423125654459
synaptic,T,50.0,50,256,256,25,1.0,29,fwdbwd,v2,40.77363204956055,455.75048828125,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwdbwd,v1,86.92012786865234,443.50048828125,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwdbwd,eventdriven,51.08019256591797,103.06591796875,0.11289764195680618
synaptic,T,50.0,50,256,256,25,1.0,29,fwdbwd,vanilla,29.642751693725586,63.0,0.12423125654459
synaptic,T,100.0,100,256,256,25,1.0,29,fwd,v2,27.451391220092773,129.75,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwd,v1,60.044288635253906,97.0,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwd,eventdriven,62.829566955566406,60.2529296875,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwd,vanilla,20.561920166015625,76.5,0.12428054213523865
synaptic,T,100.0,100,256,256,25,1.0,29,fwdbwd,v2,74.02470397949219,868.25048828125,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwdbwd,v1,174.5858612060547,855.00048828125,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwdbwd,eventdriven,103.66758728027344,157.06591796875,0.11505233496427536
synaptic,T,100.0,100,256,256,25,1.0,29,fwdbwd,vanilla,60.527713775634766,126.5,0.12428054213523865
synaptic,T,250.0,250,256,256,25,1.0,29,fwd,v2,68.37254333496094,278.75,0.11645007878541946
